L_3_bootstrap,,L_4_bootstrap,,BO_upper,,BO_lower,
X,Y,X,Y,X,Y,X,Y
0.010780772436787878,1.9967213114754103,0.010743725108826485,2.000000000000001,0.02204316013707497,2.000000000000001,0.022006112809113576,2.0032786885245906
0.40437158469945356,2.163934426229509,0.40437158469945356,2.163934426229509,0.22435861813466684,2.0950819672131153,0.21317032509030276,2.085245901639345
0.7986292488654256,2.272131147540984,0.7984810595535796,2.2852459016393447,0.4719088635732147,2.1868852459016397,0.41563397239974065,2.167213114754099
1.204297490043531,2.3704918032786892,1.1928498657034359,2.3836065573770497,0.7082708159673983,2.2688524590163937,0.7084930999351671,2.249180327868853
1.5990367694730017,2.436065573770492,1.5986292488654255,2.472131147540984,1.0010558488469017,2.3573770491803283,1.1366861165138467,2.354098360655738
1.9937760489024732,2.5016393442622955,1.993220338983051,2.550819672131148,1.3277021394831894,2.449180327868853,1.5987774381772715,2.4590163934426235
2.388626470315829,2.5573770491803285,2.399184958784848,2.6229508196721314,1.710845605260721,2.5409836065573774,2.0272668333796426,2.5377049180327873
2.794887468741317,2.6032786885245907,2.7938130962304344,2.698360655737705,2.1052885060665,2.632786885245902,2.4219690654811523,2.606557377049181
3.1898490321385573,2.649180327868853,3.1885523756599063,2.7639344262295085,2.4886172084838383,2.708196721311476,2.8392701676391594,2.6754098360655743
3.5848105955357967,2.695081967213115,3.583402797073261,2.8196721311475414,2.8493840881726404,2.7803278688524595,3.1437992034824482,2.7245901639344265
3.991145688617209,2.7344262295081974,3.989552653514866,2.8754098360655744,3.266648143002686,2.852459016393443,3.5724738353246277,2.7868852459016398
4.386181346670371,2.7737704918032793,4.384440122256182,2.927868852459017,3.6274891173474115,2.9180327868852465,3.9673613040659443,2.839344262295082
4.781254052051496,2.809836065573771,4.779364638325461,2.977049180327869,4.304232657219599,3.026229508196722,4.452533111049365,2.9016393442622954
5.187663239788831,2.8426229508196723,5.1856626840789115,3.0196721311475416,4.845642308048532,3.111475409836066,5.095748819116421,2.977049180327869
5.582772992497917,2.8754098360655744,5.58058720014819,3.068852459016394,5.195369084004817,3.1606557377049187,5.761526349912012,3.0557377049180334
5.989182180235251,2.9081967213114757,5.97558581087339,3.111475409836066,5.624080763174956,3.2196721311475414,6.698305084745764,3.150819672131148
6.384291932944336,2.9409836065573773,6.381883856626841,3.154098360655738,6.052792442345097,3.2786885245901645,7.499675835880337,3.2295081967213117
6.779475780309346,2.9672131147540988,6.77680837269612,3.2032786885245907,6.515402426599981,3.337704918032787,8.086690747429842,3.2786885245901645
7.1746225803463926,2.9967213114754103,7.171844030749282,3.2426229508196727,6.8765027322404375,3.3803278688524596,,
7.5810688154116885,3.026229508196722,7.566842641474484,3.2852459016393447,7.361637491895898,3.4459016393442625,,
7.976252662776698,3.052459016393443,7.973177734555897,3.3245901639344266,,,,
